Wall time,Step,Value
1556360151.921417,710134,-1.4450000524520874
1556360164.199334,711009,-1.3949999809265137
1556360327.9300985,722637,-1.6699999570846558
1556360363.308415,725138,-1.4600000381469727
1556360368.3722715,725497,-1.4900000095367432
1556360564.673893,739476,-1.2350000143051147
1556360803.9112835,756525,-1.2000000476837158
1556360848.8292027,759727,-1.0449999570846558
1556360903.3525345,763612,-0.7049999833106995
1556361147.6606095,780857,-0.9750000238418579
1556361238.024474,787243,-1.2549999952316284
1556361248.1590812,787969,-1.1799999475479126
1556361266.7397757,789296,-1.315000057220459
1556361456.508045,802790,-1.2799999713897705
1556361548.7539172,809367,-1.215000033378601
1556361577.0402994,811384,-1.340000033378601
1556361660.8496993,817342,-1.2799999713897705
1556361692.2716813,819573,-1.3849999904632568
1556361816.7950447,828422,-0.9449999928474426
1556361977.905974,839879,-1.1150000095367432
1556361997.50706,841270,-1.3600000143051147
1556362008.1698565,842026,-1.2549999952316284
1556362182.0355003,854367,-1.4199999570846558
1556362185.3401694,854601,-1.5700000524520874
1556362318.8064225,864043,-1.2400000095367432
1556362380.1903195,868378,-1.340000033378601
1556362643.1121912,887077,-1.0499999523162842
1556362858.2004113,902385,-1.2599999904632568
1556362899.9088526,905358,-1.715000033378601
1556362932.8305066,907701,-1.6299999952316284
1556363088.2586803,918772,-1.184999942779541
1556363321.8415668,935381,-1.2050000429153442
1556363389.5453203,940209,-1.6200000047683716
1556363656.5552547,959157,-2.055000066757202
1556363692.0960128,961687,-1.8899999856948853
1556363797.739093,969206,-1.7100000381469727
1556364005.1719291,983865,-1.4049999713897705
1556364050.4990923,987071,-1.340000033378601
1556364055.438141,987421,-1.3650000095367432
1556364137.7250807,993280,-1.899999976158142
1556364149.844004,994143,-2.109999895095825
1556364242.2008452,1000691,-2.0999999046325684
1556364280.301669,1003352,-2.7100000381469727
1556364421.906906,1013294,-3.180000066757202
1556364469.955827,1016669,-3.109999895095825
1556364686.4788797,1031823,-1.625
1556364702.5400398,1032946,-1.7549999952316284
1556364837.3687742,1042366,-1.8799999952316284
1556364860.1442618,1043955,-1.975000023841858
1556364869.974593,1044642,-1.9249999523162842
1556364894.1143281,1046325,-1.7400000095367432
1556365001.7566435,1053824,-1.7899999618530273
1556365052.726731,1057370,-1.0750000476837158
1556365069.2770488,1058517,-0.8949999809265137
1556365219.0712779,1068932,0.28999999165534973
1556365284.1331909,1073459,0.4050000011920929
1556365593.9569986,1094930,-0.7200000286102295
1556365742.4813044,1104807,-0.0949999988079071
1556365828.1800463,1110357,0.5899999737739563
1556365979.565766,1119955,0.9449999928474426
1556366089.569273,1127455,1.024999976158142
1556366095.948849,1127899,1.0850000381469727
1556366125.5251794,1129958,1.149999976158142
1556366206.1475625,1135566,2.059999942779541
1556366501.7856226,1156069,2.7750000953674316
1556366520.8672533,1157398,3.005000114440918
1556366563.4899046,1160349,3.2750000953674316
1556366848.4914994,1180118,4.65500020980835
1556366915.4374764,1184716,4.335000038146973
1556366986.4834132,1189654,4.505000114440918
1556367225.2047718,1206200,3.180000066757202
1556367247.4126935,1207743,3.0299999713897705
1556367365.095876,1215906,3.684999942779541
1556367630.0880184,1234199,4.389999866485596
1556367845.400134,1249095,5.985000133514404
